Cpu,   Memory(MB),   NumFiles,   IOSize(MB),   NumThreads,   ThreadMemory(MB),ThputIOps,ThputMbps,RespTime
100 ,     110 ,     800 ,     1 ,     50 ,     10,  100018.436,  491.4,   0.149
100 ,     110 ,     800 ,     1 ,     50 ,     4,  110375.608,  542.2,   0.147
100 ,     110 ,     800 ,     1 ,     50 ,     6,  102652.399,  504.3,   0.145
100 ,     110 ,     800 ,     1 ,     50 ,     8,  106197.694,  521.7,   0.148
100 ,     110 ,     800 ,     1 ,     60 ,     10,  95628.117,  469.8,   0.181
100 ,     110 ,     800 ,     1 ,     60 ,     4,  107324.741,  527.2,   0.175
100 ,     110 ,     800 ,     1 ,     60 ,     6,  104892.523,  515.3,   0.179
100 ,     110 ,     800 ,     1 ,     60 ,     8,  103324.434,  507.6,   0.177
100 ,     110 ,     800 ,     1 ,     70 ,     10,  99522.560,  488.8,   0.219
100 ,     110 ,     800 ,     1 ,     70 ,     4,  106231.748,  521.8,   0.202
100 ,     110 ,     800 ,     1 ,     70 ,     6,  96007.377,  471.5,   0.209
100 ,     110 ,     800 ,     1 ,     70 ,     8,  102156.193,  501.8,   0.208
100 ,     110 ,     800 ,     1 ,     80 ,     10,  91264.363,  448.3,   0.256
100 ,     110 ,     800 ,     1 ,     80 ,     4,  99097.618,  486.8,   0.236
100 ,     110 ,     800 ,     1 ,     80 ,     6,  95374.099,  468.5,   0.243
100 ,     110 ,     800 ,     1 ,     80 ,     8,  97068.347,  476.7,   0.242
100 ,     110 ,     800 ,     2 ,     50 ,     10,  103036.971,  506.2,   0.148
100 ,     110 ,     800 ,     2 ,     50 ,     4,  105069.289,  516.1,   0.167
100 ,     110 ,     800 ,     2 ,     50 ,     6,  112759.116,  554.0,   0.140
100 ,     110 ,     800 ,     2 ,     50 ,     8,  107467.087,  527.9,   0.142
100 ,     110 ,     800 ,     2 ,     60 ,     10,  97633.120,  479.6,   0.172
100 ,     110 ,     800 ,     2 ,     60 ,     4,  112320.050,  551.8,   0.165
100 ,     110 ,     800 ,     2 ,     60 ,     6,  107584.734,  528.5,   0.169
100 ,     110 ,     800 ,     2 ,     60 ,     8,  100231.537,  492.4,   0.173
100 ,     110 ,     800 ,     2 ,     70 ,     10,  100417.563,  493.3,   0.218
100 ,     110 ,     800 ,     2 ,     70 ,     4,  104592.159,  513.7,   0.195
100 ,     110 ,     800 ,     2 ,     70 ,     6,  100044.614,  491.4,   0.200
100 ,     110 ,     800 ,     2 ,     70 ,     8,  97050.522,  476.8,   0.206
100 ,     110 ,     800 ,     2 ,     80 ,     10,  93487.595,  459.3,   0.237
100 ,     110 ,     800 ,     2 ,     80 ,     4,  107954.243,  530.3,   0.223
100 ,     110 ,     800 ,     2 ,     80 ,     6,  102541.859,  503.7,   0.232
100 ,     110 ,     800 ,     2 ,     80 ,     8,  102113.353,  501.5,   0.242
100 ,     110 ,     800 ,     3 ,     50 ,     10,  102782.253,  504.9,   0.151
100 ,     110 ,     800 ,     3 ,     50 ,     4,  110647.850,  543.5,   0.136
100 ,     110 ,     800 ,     3 ,     50 ,     6,  110806.326,  544.3,   0.160
100 ,     110 ,     800 ,     3 ,     50 ,     8,  111043.997,  545.5,   0.141
100 ,     110 ,     800 ,     3 ,     60 ,     10,  101392.450,  498.1,   0.176
100 ,     110 ,     800 ,     3 ,     60 ,     4,  107624.925,  528.7,   0.164
100 ,     110 ,     800 ,     3 ,     60 ,     6,  109310.184,  536.9,   0.163
100 ,     110 ,     800 ,     3 ,     60 ,     8,  108704.616,  534.0,   0.169
100 ,     110 ,     800 ,     3 ,     70 ,     10,  103331.372,  507.7,   0.203
100 ,     110 ,     800 ,     3 ,     70 ,     4,  109880.276,  539.8,   0.195
100 ,     110 ,     800 ,     3 ,     70 ,     6,  105447.508,  518.0,   0.197
100 ,     110 ,     800 ,     3 ,     70 ,     8,  101926.012,  500.7,   0.204
100 ,     110 ,     800 ,     3 ,     80 ,     10,  100511.492,  493.8,   0.233
100 ,     110 ,     800 ,     3 ,     80 ,     4,  109082.745,  535.9,   0.224
100 ,     110 ,     800 ,     3 ,     80 ,     6,  106073.501,  521.1,   0.226
100 ,     110 ,     800 ,     3 ,     80 ,     8,  101711.928,  499.6,   0.232
100 ,     110 ,     800 ,     4 ,     50 ,     10,  110782.336,  544.2,   0.137
100 ,     110 ,     800 ,     4 ,     50 ,     4,  111167.506,  546.1,   0.134
100 ,     110 ,     800 ,     4 ,     50 ,     6,  115343.670,  566.6,   0.135
100 ,     110 ,     800 ,     4 ,     50 ,     8,  108672.871,  533.9,   0.133
100 ,     110 ,     800 ,     4 ,     60 ,     10,  107240.556,  526.8,   0.174
100 ,     110 ,     800 ,     4 ,     60 ,     4,  106957.452,  525.4,   0.167
100 ,     110 ,     800 ,     4 ,     60 ,     6,  110205.238,  541.4,   0.184
100 ,     110 ,     800 ,     4 ,     60 ,     8,  110173.649,  541.2,   0.164
100 ,     110 ,     800 ,     4 ,     70 ,     10,  97640.894,  479.7,   0.201
100 ,     110 ,     800 ,     4 ,     70 ,     4,  109995.964,  540.4,   0.194
100 ,     110 ,     800 ,     4 ,     70 ,     6,  105131.178,  516.5,   0.199
100 ,     110 ,     800 ,     4 ,     70 ,     8,  101357.412,  497.9,   0.198
100 ,     110 ,     800 ,     4 ,     80 ,     10,  96081.741,  471.9,   0.235
100 ,     110 ,     800 ,     4 ,     80 ,     4,  107951.371,  530.3,   0.226
100 ,     110 ,     800 ,     4 ,     80 ,     6,  105861.995,  520.1,   0.240
100 ,     110 ,     800 ,     4 ,     80 ,     8,  101082.079,  496.5,   0.231
100 ,     110 ,     840 ,     1 ,     50 ,     10,  98172.144,  487.6,   0.151
100 ,     110 ,     840 ,     1 ,     50 ,     4,  111055.417,  551.6,   0.141
100 ,     110 ,     840 ,     1 ,     50 ,     6,  102680.111,  510.0,   0.145
100 ,     110 ,     840 ,     1 ,     50 ,     8,  106600.974,  529.5,   0.147
100 ,     110 ,     840 ,     1 ,     60 ,     10,  98234.351,  488.1,   0.177
100 ,     110 ,     840 ,     1 ,     60 ,     4,  103837.221,  515.7,   0.178
100 ,     110 ,     840 ,     1 ,     60 ,     6,  96932.339,  481.4,   0.181
100 ,     110 ,     840 ,     1 ,     60 ,     8,  103939.718,  516.3,   0.177
100 ,     110 ,     840 ,     1 ,     70 ,     10,  98778.867,  490.6,   0.212
100 ,     110 ,     840 ,     1 ,     70 ,     4,  104268.448,  517.9,   0.213
100 ,     110 ,     840 ,     1 ,     70 ,     6,  96367.612,  478.6,   0.216
100 ,     110 ,     840 ,     1 ,     70 ,     8,  99923.274,  496.3,   0.219
100 ,     110 ,     840 ,     1 ,     80 ,     10,  98127.758,  487.4,   0.243
100 ,     110 ,     840 ,     1 ,     80 ,     4,  96213.163,  477.8,   0.236
100 ,     110 ,     840 ,     1 ,     80 ,     6,  94542.097,  469.5,   0.241
100 ,     110 ,     840 ,     1 ,     80 ,     8,  97974.984,  486.6,   0.248
100 ,     110 ,     840 ,     2 ,     50 ,     10,  107030.927,  531.6,   0.143
100 ,     110 ,     840 ,     2 ,     50 ,     4,  113380.699,  563.1,   0.137
100 ,     110 ,     840 ,     2 ,     50 ,     6,  107859.567,  535.8,   0.135
100 ,     110 ,     840 ,     2 ,     50 ,     8,  109092.129,  541.9,   0.145
100 ,     110 ,     840 ,     2 ,     60 ,     10,  104049.423,  516.9,   0.175
100 ,     110 ,     840 ,     2 ,     60 ,     4,  113210.940,  562.3,   0.166
100 ,     110 ,     840 ,     2 ,     60 ,     6,  104789.070,  520.5,   0.174
100 ,     110 ,     840 ,     2 ,     60 ,     8,  105135.825,  522.2,   0.178
100 ,     110 ,     840 ,     2 ,     70 ,     10,  94604.456,  469.9,   0.213
100 ,     110 ,     840 ,     2 ,     70 ,     4,  104756.621,  520.3,   0.199
100 ,     110 ,     840 ,     2 ,     70 ,     6,  97650.319,  485.0,   0.213
100 ,     110 ,     840 ,     2 ,     70 ,     8,  103160.370,  512.3,   0.201
100 ,     110 ,     840 ,     2 ,     80 ,     10,  98039.653,  486.9,   0.237
100 ,     110 ,     840 ,     2 ,     80 ,     4,  99804.198,  495.7,   0.233
100 ,     110 ,     840 ,     2 ,     80 ,     6,  104068.853,  516.9,   0.229
100 ,     110 ,     840 ,     2 ,     80 ,     8,  95343.591,  473.5,   0.232
100 ,     110 ,     840 ,     3 ,     50 ,     10,  102912.531,  511.1,   0.144
100 ,     110 ,     840 ,     3 ,     50 ,     4,  114736.866,  569.9,   0.136
100 ,     110 ,     840 ,     3 ,     50 ,     6,  114703.899,  569.7,   0.137
100 ,     110 ,     840 ,     3 ,     50 ,     8,  108217.664,  537.5,   0.142
100 ,     110 ,     840 ,     3 ,     60 ,     10,  105693.507,  525.0,   0.168
100 ,     110 ,     840 ,     3 ,     60 ,     4,  111727.351,  554.9,   0.165
100 ,     110 ,     840 ,     3 ,     60 ,     6,  110406.920,  548.4,   0.168
100 ,     110 ,     840 ,     3 ,     60 ,     8,  103860.021,  515.9,   0.174
100 ,     110 ,     840 ,     3 ,     70 ,     10,  102860.729,  510.8,   0.204
100 ,     110 ,     840 ,     3 ,     70 ,     4,  109752.400,  545.1,   0.199
100 ,     110 ,     840 ,     3 ,     70 ,     6,  101546.184,  504.4,   0.194
100 ,     110 ,     840 ,     3 ,     70 ,     8,  97593.295,  484.8,   0.210
100 ,     110 ,     840 ,     3 ,     80 ,     10,  94061.250,  467.2,   0.238
100 ,     110 ,     840 ,     3 ,     80 ,     4,  101461.167,  504.0,   0.233
100 ,     110 ,     840 ,     3 ,     80 ,     6,  99442.953,  493.9,   0.229
100 ,     110 ,     840 ,     3 ,     80 ,     8,  96735.393,  480.4,   0.234
100 ,     110 ,     840 ,     4 ,     50 ,     10,  104031.505,  516.7,   0.141
100 ,     110 ,     840 ,     4 ,     50 ,     4,  111446.055,  553.6,   0.138
100 ,     110 ,     840 ,     4 ,     50 ,     6,  113724.257,  564.8,   0.138
100 ,     110 ,     840 ,     4 ,     50 ,     8,  114060.536,  566.5,   0.136
100 ,     110 ,     840 ,     4 ,     60 ,     10,  106883.235,  530.9,   0.168
100 ,     110 ,     840 ,     4 ,     60 ,     4,  110543.221,  549.1,   0.168
100 ,     110 ,     840 ,     4 ,     60 ,     6,  110126.928,  547.0,   0.167
100 ,     110 ,     840 ,     4 ,     60 ,     8,  111071.979,  551.7,   0.166
100 ,     110 ,     840 ,     4 ,     70 ,     10,  105531.326,  524.2,   0.196
100 ,     110 ,     840 ,     4 ,     70 ,     4,  102866.623,  510.9,   0.196
100 ,     110 ,     840 ,     4 ,     70 ,     6,  102863.043,  510.9,   0.199
100 ,     110 ,     840 ,     4 ,     70 ,     8,  106524.447,  529.1,   0.200
100 ,     110 ,     840 ,     4 ,     80 ,     10,  100398.646,  498.7,   0.231
100 ,     110 ,     840 ,     4 ,     80 ,     4,  107126.021,  532.0,   0.232
100 ,     110 ,     840 ,     4 ,     80 ,     6,  106698.602,  530.0,   0.229
100 ,     110 ,     840 ,     4 ,     80 ,     8,  106134.200,  527.1,   0.230
100 ,     110 ,     880 ,     1 ,     50 ,     10,  99645.214,  493.8,   0.172
100 ,     110 ,     880 ,     1 ,     50 ,     4,  110126.499,  545.8,   0.142
100 ,     110 ,     880 ,     1 ,     50 ,     6,  107194.304,  531.2,   0.149
100 ,     110 ,     880 ,     1 ,     50 ,     8,  104109.620,  515.9,   0.149
100 ,     110 ,     880 ,     1 ,     60 ,     10,  100905.898,  500.1,   0.181
100 ,     110 ,     880 ,     1 ,     60 ,     4,  106553.775,  528.1,   0.176
100 ,     110 ,     880 ,     1 ,     60 ,     6,  98022.282,  485.8,   0.186
100 ,     110 ,     880 ,     1 ,     60 ,     8,  102696.769,  508.9,   0.181
100 ,     110 ,     880 ,     1 ,     70 ,     10,  98641.679,  488.9,   0.214
100 ,     110 ,     880 ,     1 ,     70 ,     4,  102334.743,  507.2,   0.223
100 ,     110 ,     880 ,     1 ,     70 ,     6,  98695.437,  489.1,   0.216
100 ,     110 ,     880 ,     1 ,     70 ,     8,  101257.304,  501.8,   0.210
100 ,     110 ,     880 ,     1 ,     80 ,     10,  91736.918,  454.6,   0.253
100 ,     110 ,     880 ,     1 ,     80 ,     4,  101905.080,  505.0,   0.233
100 ,     110 ,     880 ,     1 ,     80 ,     6,  99724.953,  494.2,   0.242
100 ,     110 ,     880 ,     1 ,     80 ,     8,  94703.363,  469.4,   0.246
100 ,     110 ,     880 ,     2 ,     50 ,     10,  101130.743,  501.2,   0.147
100 ,     110 ,     880 ,     2 ,     50 ,     4,  115326.414,  571.5,   0.137
100 ,     110 ,     880 ,     2 ,     50 ,     6,  106531.931,  527.9,   0.139
100 ,     110 ,     880 ,     2 ,     50 ,     8,  108817.162,  539.3,   0.146
100 ,     110 ,     880 ,     2 ,     60 ,     10,  96963.241,  480.5,   0.184
100 ,     110 ,     880 ,     2 ,     60 ,     4,  112523.165,  557.7,   0.165
100 ,     110 ,     880 ,     2 ,     60 ,     6,  108652.803,  538.5,   0.170
100 ,     110 ,     880 ,     2 ,     60 ,     8,  105172.089,  521.3,   0.176
100 ,     110 ,     880 ,     2 ,     70 ,     10,  99525.446,  493.2,   0.209
100 ,     110 ,     880 ,     2 ,     70 ,     4,  102184.163,  506.4,   0.199
100 ,     110 ,     880 ,     2 ,     70 ,     6,  98359.730,  487.5,   0.205
100 ,     110 ,     880 ,     2 ,     70 ,     8,  100282.698,  497.0,   0.212
100 ,     110 ,     880 ,     2 ,     80 ,     10,  92787.434,  459.8,   0.239
100 ,     110 ,     880 ,     2 ,     80 ,     4,  104815.959,  519.5,   0.243
100 ,     110 ,     880 ,     2 ,     80 ,     6,  101200.494,  501.6,   0.243
100 ,     110 ,     880 ,     2 ,     80 ,     8,  93440.938,  463.1,   0.244
100 ,     110 ,     880 ,     3 ,     50 ,     10,  108192.900,  536.2,   0.143
100 ,     110 ,     880 ,     3 ,     50 ,     4,  111657.303,  553.4,   0.139
100 ,     110 ,     880 ,     3 ,     50 ,     6,  113558.467,  562.8,   0.137
100 ,     110 ,     880 ,     3 ,     50 ,     8,  108833.207,  539.4,   0.143
100 ,     110 ,     880 ,     3 ,     60 ,     10,  104166.534,  516.2,   0.174
100 ,     110 ,     880 ,     3 ,     60 ,     4,  104682.938,  518.8,   0.166
100 ,     110 ,     880 ,     3 ,     60 ,     6,  106641.870,  528.5,   0.180
100 ,     110 ,     880 ,     3 ,     60 ,     8,  100593.692,  498.5,   0.175
100 ,     110 ,     880 ,     3 ,     70 ,     10,  102629.452,  508.7,   0.200
100 ,     110 ,     880 ,     3 ,     70 ,     4,  110258.124,  546.4,   0.196
100 ,     110 ,     880 ,     3 ,     70 ,     6,  107655.644,  533.5,   0.197
100 ,     110 ,     880 ,     3 ,     70 ,     8,  103140.614,  511.1,   0.204
100 ,     110 ,     880 ,     3 ,     80 ,     10,  100637.749,  498.7,   0.235
100 ,     110 ,     880 ,     3 ,     80 ,     4,  107861.115,  534.5,   0.229
100 ,     110 ,     880 ,     3 ,     80 ,     6,  104448.857,  517.7,   0.235
100 ,     110 ,     880 ,     3 ,     80 ,     8,  96531.577,  478.4,   0.234
100 ,     110 ,     880 ,     4 ,     50 ,     10,  109062.337,  540.5,   0.141
100 ,     110 ,     880 ,     4 ,     50 ,     4,  115727.519,  573.6,   0.136
100 ,     110 ,     880 ,     4 ,     50 ,     6,  113385.421,  562.0,   0.138
100 ,     110 ,     880 ,     4 ,     50 ,     8,  112731.352,  558.7,   0.136
100 ,     110 ,     880 ,     4 ,     60 ,     10,  109159.434,  541.1,   0.161
100 ,     110 ,     880 ,     4 ,     60 ,     4,  111945.868,  554.9,   0.171
100 ,     110 ,     880 ,     4 ,     60 ,     6,  110327.097,  546.8,   0.169
100 ,     110 ,     880 ,     4 ,     60 ,     8,  103120.009,  511.0,   0.168
100 ,     110 ,     880 ,     4 ,     70 ,     10,  101433.759,  502.7,   0.205
100 ,     110 ,     880 ,     4 ,     70 ,     4,  102363.383,  507.4,   0.208
100 ,     110 ,     880 ,     4 ,     70 ,     6,  107546.403,  532.9,   0.190
100 ,     110 ,     880 ,     4 ,     70 ,     8,  105132.653,  521.0,   0.199
100 ,     110 ,     880 ,     4 ,     80 ,     10,  102596.889,  508.5,   0.227
100 ,     110 ,     880 ,     4 ,     80 ,     4,  109126.791,  540.8,   0.225
100 ,     110 ,     880 ,     4 ,     80 ,     6,  99710.387,  494.1,   0.232
100 ,     110 ,     880 ,     4 ,     80 ,     8,  103142.953,  511.2,   0.227
100 ,     110 ,     920 ,     1 ,     50 ,     10,  104454.033,  517.6,   0.149
100 ,     110 ,     920 ,     1 ,     50 ,     4,  111226.902,  551.1,   0.144
100 ,     110 ,     920 ,     1 ,     50 ,     6,  101795.915,  504.4,   0.180
100 ,     110 ,     920 ,     1 ,     50 ,     8,  97819.469,  484.7,   0.198
100 ,     110 ,     920 ,     1 ,     60 ,     10,  97858.001,  484.9,   0.189
100 ,     110 ,     920 ,     1 ,     60 ,     4,  99083.966,  491.0,   0.196
100 ,     110 ,     920 ,     1 ,     60 ,     6,  97359.191,  482.4,   0.181
100 ,     110 ,     920 ,     1 ,     60 ,     8,  102635.301,  508.5,   0.182
100 ,     110 ,     920 ,     1 ,     70 ,     10,  96653.430,  478.9,   0.234
100 ,     110 ,     920 ,     1 ,     70 ,     4,  104898.769,  519.8,   0.207
100 ,     110 ,     920 ,     1 ,     70 ,     6,  99225.436,  491.6,   0.214
100 ,     110 ,     920 ,     1 ,     70 ,     8,  98439.080,  487.7,   0.215
100 ,     110 ,     920 ,     1 ,     80 ,     10,  96208.159,  476.7,   0.254
100 ,     110 ,     920 ,     1 ,     80 ,     4,  99352.051,  492.2,   0.238
100 ,     110 ,     920 ,     1 ,     80 ,     6,  93541.085,  463.5,   0.246
100 ,     110 ,     920 ,     1 ,     80 ,     8,  92337.569,  457.5,   0.245
100 ,     110 ,     920 ,     2 ,     50 ,     10,  94737.583,  469.4,   0.224
100 ,     110 ,     920 ,     2 ,     50 ,     4,  109758.605,  543.8,   0.136
100 ,     110 ,     920 ,     2 ,     50 ,     6,  111840.315,  554.1,   0.145
100 ,     110 ,     920 ,     2 ,     50 ,     8,  104623.606,  518.4,   0.168
100 ,     110 ,     920 ,     2 ,     60 ,     10,  95863.139,  475.0,   0.179
100 ,     110 ,     920 ,     2 ,     60 ,     4,  104629.156,  518.4,   0.171
100 ,     110 ,     920 ,     2 ,     60 ,     6,  99507.624,  493.0,   0.187
100 ,     110 ,     920 ,     2 ,     60 ,     8,  103793.119,  514.3,   0.180
100 ,     110 ,     920 ,     2 ,     70 ,     10,  100589.629,  498.4,   0.206
